ValoresRms,Tempo
0.060,12/05/2020 19:22:19.302
0.053,12/05/2020 19:22:19.802
0.053,12/05/2020 19:22:20.302
0.055,12/05/2020 19:22:20.802
0.066,12/05/2020 19:22:21.302
0.075,12/05/2020 19:22:21.802
0.061,12/05/2020 19:22:22.302
0.067,12/05/2020 19:22:22.802
0.055,12/05/2020 19:22:23.302
0.069,12/05/2020 19:22:23.802
0.073,12/05/2020 19:22:24.302
0.060,12/05/2020 19:22:24.802
0.059,12/05/2020 19:22:25.302
0.064,12/05/2020 19:22:25.802
0.072,12/05/2020 19:22:26.302
0.062,12/05/2020 19:22:26.802
0.052,12/05/2020 19:22:27.302
0.048,12/05/2020 19:22:27.802
0.054,12/05/2020 19:22:28.302
0.062,12/05/2020 19:22:28.802
0.053,12/05/2020 19:22:29.302
0.072,12/05/2020 19:22:29.802
0.067,12/05/2020 19:22:30.302
0.052,12/05/2020 19:22:30.802
0.054,12/05/2020 19:22:31.302
0.057,12/05/2020 19:22:31.802
0.049,12/05/2020 19:22:32.302
0.046,12/05/2020 19:22:32.802
0.048,12/05/2020 19:22:33.302
0.051,12/05/2020 19:22:33.802
0.050,12/05/2020 19:22:34.302
0.063,12/05/2020 19:22:34.802
0.050,12/05/2020 19:22:35.302
0.046,12/05/2020 19:22:35.802
0.054,12/05/2020 19:22:36.302
0.063,12/05/2020 19:22:36.802
0.056,12/05/2020 19:22:37.302
0.048,12/05/2020 19:22:37.802
0.053,12/05/2020 19:22:38.302
0.063,12/05/2020 19:22:38.802
0.060,12/05/2020 19:22:39.302
0.057,12/05/2020 19:22:39.802
0.049,12/05/2020 19:22:40.302
0.056,12/05/2020 19:22:40.802
0.062,12/05/2020 19:22:41.302
0.052,12/05/2020 19:22:41.802
0.052,12/05/2020 19:22:42.302
0.056,12/05/2020 19:22:42.802
0.059,12/05/2020 19:22:43.302
0.060,12/05/2020 19:22:43.802
0.052,12/05/2020 19:22:44.302
0.066,12/05/2020 19:22:44.802
0.062,12/05/2020 19:22:45.302
0.058,12/05/2020 19:22:45.802
0.053,12/05/2020 19:22:46.302
0.062,12/05/2020 19:22:46.802
0.062,12/05/2020 19:22:47.302
0.059,12/05/2020 19:22:47.802
0.061,12/05/2020 19:22:48.302
0.060,12/05/2020 19:22:48.802
0.055,12/05/2020 19:22:49.302
0.061,12/05/2020 19:22:49.802
0.062,12/05/2020 19:22:50.302
0.064,12/05/2020 19:22:50.802
0.055,12/05/2020 19:22:51.302
0.075,12/05/2020 19:22:51.802
0.058,12/05/2020 19:22:52.302
0.053,12/05/2020 19:22:52.802
0.056,12/05/2020 19:22:53.302
0.057,12/05/2020 19:22:53.802
0.055,12/05/2020 19:22:54.302
0.060,12/05/2020 19:22:54.802
0.054,12/05/2020 19:22:55.302
0.083,12/05/2020 19:22:55.802
0.066,12/05/2020 19:22:56.302
0.066,12/05/2020 19:22:56.802
0.055,12/05/2020 19:22:57.302
0.054,12/05/2020 19:22:57.802
0.055,12/05/2020 19:22:58.302
0.057,12/05/2020 19:22:58.802
0.058,12/05/2020 19:22:59.302
0.060,12/05/2020 19:22:59.802
0.072,12/05/2020 19:23:00.302
0.049,12/05/2020 19:23:00.802
0.055,12/05/2020 19:23:01.302
0.062,12/05/2020 19:23:01.802
0.053,12/05/2020 19:23:02.302
0.068,12/05/2020 19:23:02.802
0.054,12/05/2020 19:23:03.302
0.064,12/05/2020 19:23:03.802
0.054,12/05/2020 19:23:04.302
0.067,12/05/2020 19:23:04.802
0.066,12/05/2020 19:23:05.302
0.052,12/05/2020 19:23:05.802
0.065,12/05/2020 19:23:06.302
0.055,12/05/2020 19:23:06.802
0.067,12/05/2020 19:23:07.302
0.062,12/05/2020 19:23:07.802
0.058,12/05/2020 19:23:08.302
0.072,12/05/2020 19:23:08.802
0.056,12/05/2020 19:23:09.302
0.054,12/05/2020 19:23:09.802
0.051,12/05/2020 19:23:10.302
0.063,12/05/2020 19:23:10.802
0.051,12/05/2020 19:23:11.302
0.055,12/05/2020 19:23:11.802
0.062,12/05/2020 19:23:12.302
