ValoresRms,Tempo
0.718,12/05/2020 19:32:36.823
0.489,12/05/2020 19:32:37.323
0.331,12/05/2020 19:32:37.823
0.228,12/05/2020 19:32:38.323
0.148,12/05/2020 19:32:38.823
0.103,12/05/2020 19:32:39.323
0.047,12/05/2020 19:32:39.823
0.040,12/05/2020 19:32:40.323
0.043,12/05/2020 19:32:40.823
0.051,12/05/2020 19:32:41.323
0.068,12/05/2020 19:32:41.823
0.073,12/05/2020 19:32:42.323
0.071,12/05/2020 19:32:42.823
0.072,12/05/2020 19:32:43.323
0.063,12/05/2020 19:32:43.823
0.085,12/05/2020 19:32:44.323
0.079,12/05/2020 19:32:44.823
0.063,12/05/2020 19:32:45.323
0.086,12/05/2020 19:32:45.823
0.087,12/05/2020 19:32:46.323
0.080,12/05/2020 19:32:46.823
0.063,12/05/2020 19:32:47.323
0.090,12/05/2020 19:32:47.823
0.092,12/05/2020 19:32:48.323
0.087,12/05/2020 19:32:48.823
0.108,12/05/2020 19:32:49.323
0.089,12/05/2020 19:32:49.823
0.067,12/05/2020 19:32:50.323
0.090,12/05/2020 19:32:50.823
0.084,12/05/2020 19:32:51.323
0.091,12/05/2020 19:32:51.823
0.088,12/05/2020 19:32:52.323
0.090,12/05/2020 19:32:52.823
0.085,12/05/2020 19:32:53.323
0.091,12/05/2020 19:32:53.823
0.089,12/05/2020 19:32:54.323
