ValoresRms,Tempo
0.101,12/05/2020 18:07:49.540
0.087,12/05/2020 18:07:50.040
0.095,12/05/2020 18:07:50.540
0.082,12/05/2020 18:07:51.040
0.087,12/05/2020 18:07:51.540
0.085,12/05/2020 18:07:52.040
0.087,12/05/2020 18:07:52.540
0.090,12/05/2020 18:07:53.040
0.084,12/05/2020 18:07:53.540
0.093,12/05/2020 18:07:54.040
0.093,12/05/2020 18:07:54.540
0.075,12/05/2020 18:07:55.040
0.087,12/05/2020 18:07:55.540
0.092,12/05/2020 18:07:56.040
0.091,12/05/2020 18:07:56.540
0.091,12/05/2020 18:07:57.040
0.088,12/05/2020 18:07:57.540
0.093,12/05/2020 18:07:58.040
0.092,12/05/2020 18:07:58.540
0.091,12/05/2020 18:07:59.040
0.097,12/05/2020 18:07:59.540
0.075,12/05/2020 18:08:00.040
0.091,12/05/2020 18:08:00.540
0.091,12/05/2020 18:08:01.040
0.096,12/05/2020 18:08:01.540
0.088,12/05/2020 18:08:02.040
0.089,12/05/2020 18:08:02.540
0.087,12/05/2020 18:08:03.040
0.088,12/05/2020 18:08:03.540
0.085,12/05/2020 18:08:04.040
0.092,12/05/2020 18:08:04.540
0.093,12/05/2020 18:08:05.040
0.091,12/05/2020 18:08:05.540
0.090,12/05/2020 18:08:06.040
0.087,12/05/2020 18:08:06.540
0.092,12/05/2020 18:08:07.040
0.085,12/05/2020 18:08:07.540
0.095,12/05/2020 18:08:08.040
0.080,12/05/2020 18:08:08.540
0.086,12/05/2020 18:08:09.040
0.094,12/05/2020 18:08:09.540
0.099,12/05/2020 18:08:10.040
0.092,12/05/2020 18:08:10.540
0.096,12/05/2020 18:08:11.040
0.085,12/05/2020 18:08:11.540
0.095,12/05/2020 18:08:12.040
0.083,12/05/2020 18:08:12.540
0.087,12/05/2020 18:08:13.040
0.082,12/05/2020 18:08:13.540
0.082,12/05/2020 18:08:14.040
0.082,12/05/2020 18:08:14.540
0.089,12/05/2020 18:08:15.040
0.093,12/05/2020 18:08:15.540
0.093,12/05/2020 18:08:16.040
0.084,12/05/2020 18:08:16.540
0.085,12/05/2020 18:08:17.040
0.093,12/05/2020 18:08:17.540
0.087,12/05/2020 18:08:18.040
0.087,12/05/2020 18:08:18.540
0.086,12/05/2020 18:08:19.040
0.092,12/05/2020 18:08:19.540
0.094,12/05/2020 18:08:20.040
0.084,12/05/2020 18:08:20.540
0.088,12/05/2020 18:08:21.040
0.092,12/05/2020 18:08:21.540
0.095,12/05/2020 18:08:22.040
0.105,12/05/2020 18:08:22.540
0.088,12/05/2020 18:08:23.040
0.090,12/05/2020 18:08:23.540
0.102,12/05/2020 18:08:24.040
0.090,12/05/2020 18:08:24.540
0.089,12/05/2020 18:08:25.040
0.088,12/05/2020 18:08:25.540
0.088,12/05/2020 18:08:26.040
0.085,12/05/2020 18:08:26.540
0.095,12/05/2020 18:08:27.040
0.090,12/05/2020 18:08:27.540
0.087,12/05/2020 18:08:28.040
0.090,12/05/2020 18:08:28.540
0.088,12/05/2020 18:08:29.040
0.082,12/05/2020 18:08:29.540
0.084,12/05/2020 18:08:30.040
0.089,12/05/2020 18:08:30.540
0.093,12/05/2020 18:08:31.040
0.086,12/05/2020 18:08:31.540
0.087,12/05/2020 18:08:32.040
0.083,12/05/2020 18:08:32.540
0.090,12/05/2020 18:08:33.040
0.092,12/05/2020 18:08:33.540
0.082,12/05/2020 18:08:34.040
0.094,12/05/2020 18:08:34.540
0.096,12/05/2020 18:08:35.040
0.097,12/05/2020 18:08:35.540
0.089,12/05/2020 18:08:36.040
0.095,12/05/2020 18:08:36.540
0.093,12/05/2020 18:08:37.040
0.093,12/05/2020 18:08:37.540
0.086,12/05/2020 18:08:38.040
0.084,12/05/2020 18:08:38.540
0.090,12/05/2020 18:08:39.040
0.095,12/05/2020 18:08:39.540
0.097,12/05/2020 18:08:40.040
0.094,12/05/2020 18:08:40.540
0.090,12/05/2020 18:08:41.040
0.091,12/05/2020 18:08:41.540
0.094,12/05/2020 18:08:42.040
0.085,12/05/2020 18:08:42.540
0.094,12/05/2020 18:08:43.040
0.086,12/05/2020 18:08:43.540
0.090,12/05/2020 18:08:44.040
0.083,12/05/2020 18:08:44.540
0.087,12/05/2020 18:08:45.040
0.085,12/05/2020 18:08:45.540
0.086,12/05/2020 18:08:46.040
0.081,12/05/2020 18:08:46.540
0.077,12/05/2020 18:08:47.040
0.088,12/05/2020 18:08:47.540
0.087,12/05/2020 18:08:48.040
0.083,12/05/2020 18:08:48.540
0.085,12/05/2020 18:08:49.040
0.087,12/05/2020 18:08:49.540
0.086,12/05/2020 18:08:50.040
0.093,12/05/2020 18:08:50.540
0.085,12/05/2020 18:08:51.040
0.086,12/05/2020 18:08:51.540
0.088,12/05/2020 18:08:52.040
0.090,12/05/2020 18:08:52.540
0.088,12/05/2020 18:08:53.040
0.086,12/05/2020 18:08:53.540
0.083,12/05/2020 18:08:54.040
0.091,12/05/2020 18:08:54.540
0.086,12/05/2020 18:08:55.040
0.082,12/05/2020 18:08:55.540
0.088,12/05/2020 18:08:56.040
0.093,12/05/2020 18:08:56.540
0.083,12/05/2020 18:08:57.040
0.092,12/05/2020 18:08:57.540
0.088,12/05/2020 18:08:58.040
0.074,12/05/2020 18:08:58.540
0.092,12/05/2020 18:08:59.040
0.086,12/05/2020 18:08:59.540
0.084,12/05/2020 18:09:00.040
0.094,12/05/2020 18:09:00.540
0.094,12/05/2020 18:09:01.040
0.093,12/05/2020 18:09:01.540
0.089,12/05/2020 18:09:02.040
0.086,12/05/2020 18:09:02.540
