ValoresRms,Tempo
0.099,10/05/2020 19:09:56.335
0.100,10/05/2020 19:09:56.835
0.093,10/05/2020 19:09:57.335
0.089,10/05/2020 19:09:57.835
0.102,10/05/2020 19:09:58.335
0.095,10/05/2020 19:09:58.835
0.096,10/05/2020 19:09:59.335
0.093,10/05/2020 19:09:59.835
0.092,10/05/2020 19:10:00.335
0.075,10/05/2020 19:10:00.835
0.094,10/05/2020 19:10:01.335
0.094,10/05/2020 19:10:01.835
0.090,10/05/2020 19:10:02.335
0.095,10/05/2020 19:10:02.835
0.098,10/05/2020 19:10:03.335
0.097,10/05/2020 19:10:03.835
0.099,10/05/2020 19:10:04.335
0.099,10/05/2020 19:10:04.835
0.103,10/05/2020 19:10:05.335
0.101,10/05/2020 19:10:05.835
0.090,10/05/2020 19:10:06.335
0.095,10/05/2020 19:10:06.835
0.101,10/05/2020 19:10:07.335
0.100,10/05/2020 19:10:07.835
0.097,10/05/2020 19:10:08.335
0.101,10/05/2020 19:10:08.835
0.100,10/05/2020 19:10:09.335
0.099,10/05/2020 19:10:09.835
0.095,10/05/2020 19:10:10.335
0.091,10/05/2020 19:10:10.835
0.095,10/05/2020 19:10:11.335
0.094,10/05/2020 19:10:11.835
0.092,10/05/2020 19:10:12.335
0.099,10/05/2020 19:10:12.835
0.089,10/05/2020 19:10:13.335
0.095,10/05/2020 19:10:13.835
0.096,10/05/2020 19:10:14.335
0.083,10/05/2020 19:10:14.835
0.094,10/05/2020 19:10:15.335
0.094,10/05/2020 19:10:15.835
0.097,10/05/2020 19:10:16.335
0.094,10/05/2020 19:10:16.835
0.098,10/05/2020 19:10:17.335
0.077,10/05/2020 19:10:17.835
0.078,10/05/2020 19:10:18.335
0.088,10/05/2020 19:10:18.835
0.089,10/05/2020 19:10:19.335
0.097,10/05/2020 19:10:19.835
0.098,10/05/2020 19:10:20.335
0.096,10/05/2020 19:10:20.835
0.093,10/05/2020 19:10:21.335
0.089,10/05/2020 19:10:21.835
0.088,10/05/2020 19:10:22.335
0.093,10/05/2020 19:10:22.835
0.095,10/05/2020 19:10:23.335
0.098,10/05/2020 19:10:23.835
0.099,10/05/2020 19:10:24.335
0.099,10/05/2020 19:10:24.835
0.098,10/05/2020 19:10:25.335
0.094,10/05/2020 19:10:25.835
0.096,10/05/2020 19:10:26.335
0.094,10/05/2020 19:10:26.835
0.099,10/05/2020 19:10:27.335
0.091,10/05/2020 19:10:27.835
0.094,10/05/2020 19:10:28.335
0.096,10/05/2020 19:10:28.835
0.098,10/05/2020 19:10:29.335
0.096,10/05/2020 19:10:29.835
0.096,10/05/2020 19:10:30.335
0.072,10/05/2020 19:10:30.835
0.095,10/05/2020 19:10:31.335
0.087,10/05/2020 19:10:31.835
0.092,10/05/2020 19:10:32.335
0.096,10/05/2020 19:10:32.835
0.095,10/05/2020 19:10:33.335
0.096,10/05/2020 19:10:33.835
0.094,10/05/2020 19:10:34.335
0.093,10/05/2020 19:10:34.835
0.099,10/05/2020 19:10:35.335
0.099,10/05/2020 19:10:35.835
0.086,10/05/2020 19:10:36.335
0.101,10/05/2020 19:10:36.835
0.096,10/05/2020 19:10:37.335
0.095,10/05/2020 19:10:37.835
0.097,10/05/2020 19:10:38.335
0.096,10/05/2020 19:10:38.835
0.096,10/05/2020 19:10:39.335
0.102,10/05/2020 19:10:39.835
0.090,10/05/2020 19:10:40.335
0.092,10/05/2020 19:10:40.835
0.092,10/05/2020 19:10:41.335
0.095,10/05/2020 19:10:41.835
0.096,10/05/2020 19:10:42.335
0.096,10/05/2020 19:10:42.835
0.097,10/05/2020 19:10:43.335
0.095,10/05/2020 19:10:43.835
0.098,10/05/2020 19:10:44.335
0.084,10/05/2020 19:10:44.835
0.096,10/05/2020 19:10:45.335
0.095,10/05/2020 19:10:45.835
0.097,10/05/2020 19:10:46.335
0.094,10/05/2020 19:10:46.835
0.091,10/05/2020 19:10:47.335
0.091,10/05/2020 19:10:47.835
0.096,10/05/2020 19:10:48.335
0.087,10/05/2020 19:10:48.835
0.086,10/05/2020 19:10:49.335
0.096,10/05/2020 19:10:49.835
0.095,10/05/2020 19:10:50.335
0.096,10/05/2020 19:10:50.835
0.093,10/05/2020 19:10:51.335
0.074,10/05/2020 19:10:51.835
0.094,10/05/2020 19:10:52.335
0.096,10/05/2020 19:10:52.835
0.090,10/05/2020 19:10:53.335
0.096,10/05/2020 19:10:53.835
0.098,10/05/2020 19:10:54.335
0.099,10/05/2020 19:10:54.835
0.101,10/05/2020 19:10:55.335
0.092,10/05/2020 19:10:55.835
0.093,10/05/2020 19:10:56.335
0.076,10/05/2020 19:10:56.835
0.091,10/05/2020 19:10:57.335
0.087,10/05/2020 19:10:57.835
0.092,10/05/2020 19:10:58.335
0.097,10/05/2020 19:10:58.835
0.094,10/05/2020 19:10:59.335
0.096,10/05/2020 19:10:59.835
0.091,10/05/2020 19:11:00.335
0.098,10/05/2020 19:11:00.835
0.094,10/05/2020 19:11:01.335
0.088,10/05/2020 19:11:01.835
0.093,10/05/2020 19:11:02.335
0.094,10/05/2020 19:11:02.835
0.096,10/05/2020 19:11:03.335
0.092,10/05/2020 19:11:03.835
0.092,10/05/2020 19:11:04.335
0.093,10/05/2020 19:11:04.835
0.092,10/05/2020 19:11:05.335
0.088,10/05/2020 19:11:05.835
0.086,10/05/2020 19:11:06.335
0.093,10/05/2020 19:11:06.835
0.091,10/05/2020 19:11:07.335
