ValoresRms,Tempo
0.071,12/05/2020 19:02:03.502
0.072,12/05/2020 19:02:04.002
0.072,12/05/2020 19:02:04.502
0.082,12/05/2020 19:02:05.002
0.079,12/05/2020 19:02:05.502
0.083,12/05/2020 19:02:06.002
0.082,12/05/2020 19:02:06.502
0.066,12/05/2020 19:02:07.002
0.081,12/05/2020 19:02:07.502
0.087,12/05/2020 19:02:08.002
0.084,12/05/2020 19:02:08.502
0.085,12/05/2020 19:02:09.002
0.088,12/05/2020 19:02:09.502
0.085,12/05/2020 19:02:10.002
0.088,12/05/2020 19:02:10.502
0.094,12/05/2020 19:02:11.002
0.080,12/05/2020 19:02:11.502
0.081,12/05/2020 19:02:12.002
0.089,12/05/2020 19:02:12.502
0.087,12/05/2020 19:02:13.002
0.085,12/05/2020 19:02:13.502
0.085,12/05/2020 19:02:14.002
0.089,12/05/2020 19:02:14.502
0.097,12/05/2020 19:02:15.002
0.095,12/05/2020 19:02:15.502
0.082,12/05/2020 19:02:16.002
0.091,12/05/2020 19:02:16.502
0.092,12/05/2020 19:02:17.002
0.095,12/05/2020 19:02:17.502
0.089,12/05/2020 19:02:18.002
0.098,12/05/2020 19:02:18.502
0.097,12/05/2020 19:02:19.002
0.091,12/05/2020 19:02:19.502
0.094,12/05/2020 19:02:20.002
0.086,12/05/2020 19:02:20.502
0.090,12/05/2020 19:02:21.002
0.091,12/05/2020 19:02:21.502
0.099,12/05/2020 19:02:22.002
0.092,12/05/2020 19:02:22.502
0.073,12/05/2020 19:02:23.002
0.089,12/05/2020 19:02:23.502
0.088,12/05/2020 19:02:24.002
0.085,12/05/2020 19:02:24.502
0.085,12/05/2020 19:02:25.002
0.086,12/05/2020 19:02:25.502
0.091,12/05/2020 19:02:26.002
0.094,12/05/2020 19:02:26.502
0.091,12/05/2020 19:02:27.002
0.092,12/05/2020 19:02:27.502
0.092,12/05/2020 19:02:28.002
0.084,12/05/2020 19:02:28.502
0.077,12/05/2020 19:02:29.002
0.091,12/05/2020 19:02:29.502
0.092,12/05/2020 19:02:30.002
0.093,12/05/2020 19:02:30.502
0.096,12/05/2020 19:02:31.002
0.087,12/05/2020 19:02:31.502
0.096,12/05/2020 19:02:32.002
0.087,12/05/2020 19:02:32.502
0.089,12/05/2020 19:02:33.002
0.094,12/05/2020 19:02:33.502
0.097,12/05/2020 19:02:34.002
0.090,12/05/2020 19:02:34.502
0.088,12/05/2020 19:02:35.002
0.099,12/05/2020 19:02:35.502
0.097,12/05/2020 19:02:36.002
0.091,12/05/2020 19:02:36.502
0.095,12/05/2020 19:02:37.002
0.084,12/05/2020 19:02:37.502
0.087,12/05/2020 19:02:38.002
0.090,12/05/2020 19:02:38.502
0.089,12/05/2020 19:02:39.002
0.097,12/05/2020 19:02:39.502
0.091,12/05/2020 19:02:40.002
0.086,12/05/2020 19:02:40.502
0.101,12/05/2020 19:02:41.002
0.084,12/05/2020 19:02:41.502
0.098,12/05/2020 19:02:42.002
0.095,12/05/2020 19:02:42.502
0.095,12/05/2020 19:02:43.002
0.092,12/05/2020 19:02:43.502
0.096,12/05/2020 19:02:44.002
0.091,12/05/2020 19:02:44.502
0.092,12/05/2020 19:02:45.002
0.094,12/05/2020 19:02:45.502
0.083,12/05/2020 19:02:46.002
0.092,12/05/2020 19:02:46.502
0.094,12/05/2020 19:02:47.002
0.097,12/05/2020 19:02:47.502
0.090,12/05/2020 19:02:48.002
0.097,12/05/2020 19:02:48.502
0.092,12/05/2020 19:02:49.002
0.074,12/05/2020 19:02:49.502
0.087,12/05/2020 19:02:50.002
0.091,12/05/2020 19:02:50.502
0.093,12/05/2020 19:02:51.002
0.093,12/05/2020 19:02:51.502
0.087,12/05/2020 19:02:52.002
0.084,12/05/2020 19:02:52.502
0.092,12/05/2020 19:02:53.002
0.090,12/05/2020 19:02:53.502
0.086,12/05/2020 19:02:54.002
0.093,12/05/2020 19:02:54.502
0.095,12/05/2020 19:02:55.002
0.101,12/05/2020 19:02:55.502
0.097,12/05/2020 19:02:56.002
0.094,12/05/2020 19:02:56.502
0.091,12/05/2020 19:02:57.002
0.091,12/05/2020 19:02:57.502
0.099,12/05/2020 19:02:58.002
0.093,12/05/2020 19:02:58.502
0.089,12/05/2020 19:02:59.002
0.096,12/05/2020 19:02:59.502
0.097,12/05/2020 19:03:00.002
0.093,12/05/2020 19:03:00.502
0.092,12/05/2020 19:03:01.002
0.096,12/05/2020 19:03:01.502
0.093,12/05/2020 19:03:02.002
0.093,12/05/2020 19:03:02.502
0.090,12/05/2020 19:03:03.002
0.091,12/05/2020 19:03:03.502
0.092,12/05/2020 19:03:04.002
0.078,12/05/2020 19:03:04.502
0.092,12/05/2020 19:03:05.002
0.087,12/05/2020 19:03:05.502
