ValoresRms,Tempo
0.088,12/05/2020 19:33:05.879
0.073,12/05/2020 19:33:06.379
0.088,12/05/2020 19:33:06.879
0.089,12/05/2020 19:33:07.379
0.092,12/05/2020 19:33:07.879
0.094,12/05/2020 19:33:08.379
0.091,12/05/2020 19:33:08.879
0.087,12/05/2020 19:33:09.379
0.085,12/05/2020 19:33:09.879
0.092,12/05/2020 19:33:10.379
0.090,12/05/2020 19:33:10.879
0.091,12/05/2020 19:33:11.379
0.073,12/05/2020 19:33:11.879
0.089,12/05/2020 19:33:12.379
0.092,12/05/2020 19:33:12.879
0.088,12/05/2020 19:33:13.379
0.087,12/05/2020 19:33:13.879
0.099,12/05/2020 19:33:14.379
0.095,12/05/2020 19:33:14.879
0.073,12/05/2020 19:33:15.379
0.087,12/05/2020 19:33:15.879
0.091,12/05/2020 19:33:16.379
0.087,12/05/2020 19:33:16.879
0.083,12/05/2020 19:33:17.379
0.093,12/05/2020 19:33:17.879
0.087,12/05/2020 19:33:18.379
0.087,12/05/2020 19:33:18.879
0.098,12/05/2020 19:33:19.379
0.079,12/05/2020 19:33:19.879
0.090,12/05/2020 19:33:20.379
0.089,12/05/2020 19:33:20.879
0.090,12/05/2020 19:33:21.379
0.100,12/05/2020 19:33:21.879
0.095,12/05/2020 19:33:22.379
0.090,12/05/2020 19:33:22.879
0.091,12/05/2020 19:33:23.379
0.085,12/05/2020 19:33:23.879
0.082,12/05/2020 19:33:24.379
0.091,12/05/2020 19:33:24.879
0.089,12/05/2020 19:33:25.379
0.091,12/05/2020 19:33:25.879
0.091,12/05/2020 19:33:26.379
0.092,12/05/2020 19:33:26.879
0.093,12/05/2020 19:33:27.379
0.089,12/05/2020 19:33:27.879
0.084,12/05/2020 19:33:28.379
0.091,12/05/2020 19:33:28.879
0.091,12/05/2020 19:33:29.379
0.083,12/05/2020 19:33:29.879
0.089,12/05/2020 19:33:30.379
0.085,12/05/2020 19:33:30.879
0.088,12/05/2020 19:33:31.379
0.090,12/05/2020 19:33:31.879
0.088,12/05/2020 19:33:32.379
0.083,12/05/2020 19:33:32.879
0.086,12/05/2020 19:33:33.379
0.087,12/05/2020 19:33:33.879
0.085,12/05/2020 19:33:34.379
0.085,12/05/2020 19:33:34.879
0.090,12/05/2020 19:33:35.379
0.087,12/05/2020 19:33:35.879
0.088,12/05/2020 19:33:36.379
0.084,12/05/2020 19:33:36.879
0.090,12/05/2020 19:33:37.379
0.083,12/05/2020 19:33:37.879
0.089,12/05/2020 19:33:38.379
0.089,12/05/2020 19:33:38.879
0.086,12/05/2020 19:33:39.379
0.086,12/05/2020 19:33:39.879
0.092,12/05/2020 19:33:40.379
0.095,12/05/2020 19:33:40.879
0.084,12/05/2020 19:33:41.379
0.105,12/05/2020 19:33:41.879
0.096,12/05/2020 19:33:42.379
0.086,12/05/2020 19:33:42.879
0.084,12/05/2020 19:33:43.379
0.090,12/05/2020 19:33:43.879
0.088,12/05/2020 19:33:44.379
0.081,12/05/2020 19:33:44.879
0.084,12/05/2020 19:33:45.379
0.084,12/05/2020 19:33:45.879
0.089,12/05/2020 19:33:46.379
0.086,12/05/2020 19:33:46.879
0.087,12/05/2020 19:33:47.379
0.086,12/05/2020 19:33:47.879
0.089,12/05/2020 19:33:48.379
0.092,12/05/2020 19:33:48.879
0.094,12/05/2020 19:33:49.379
0.086,12/05/2020 19:33:49.879
0.104,12/05/2020 19:33:50.379
0.095,12/05/2020 19:33:50.879
0.093,12/05/2020 19:33:51.379
0.092,12/05/2020 19:33:51.879
0.087,12/05/2020 19:33:52.379
0.091,12/05/2020 19:33:52.879
0.090,12/05/2020 19:33:53.379
0.095,12/05/2020 19:33:53.879
0.091,12/05/2020 19:33:54.379
0.093,12/05/2020 19:33:54.879
0.104,12/05/2020 19:33:55.379
0.097,12/05/2020 19:33:55.879
0.095,12/05/2020 19:33:56.379
0.097,12/05/2020 19:33:56.879
0.102,12/05/2020 19:33:57.379
0.091,12/05/2020 19:33:57.879
0.086,12/05/2020 19:33:58.379
0.090,12/05/2020 19:33:58.879
0.086,12/05/2020 19:33:59.379
0.090,12/05/2020 19:33:59.879
0.090,12/05/2020 19:34:00.379
0.090,12/05/2020 19:34:00.879
0.072,12/05/2020 19:34:01.379
0.092,12/05/2020 19:34:01.879
0.088,12/05/2020 19:34:02.379
0.079,12/05/2020 19:34:02.879
0.095,12/05/2020 19:34:03.379
0.089,12/05/2020 19:34:03.879
0.090,12/05/2020 19:34:04.379
0.093,12/05/2020 19:34:04.879
0.091,12/05/2020 19:34:05.379
0.088,12/05/2020 19:34:05.879
0.090,12/05/2020 19:34:06.379
0.081,12/05/2020 19:34:06.879
0.087,12/05/2020 19:34:07.379
0.088,12/05/2020 19:34:07.879
0.092,12/05/2020 19:34:08.379
0.085,12/05/2020 19:34:08.879
0.090,12/05/2020 19:34:09.379
0.090,12/05/2020 19:34:09.879
0.088,12/05/2020 19:34:10.379
0.087,12/05/2020 19:34:10.879
0.081,12/05/2020 19:34:11.379
0.093,12/05/2020 19:34:11.879
0.091,12/05/2020 19:34:12.379
0.093,12/05/2020 19:34:12.879
0.094,12/05/2020 19:34:13.379
0.094,12/05/2020 19:34:13.879
0.089,12/05/2020 19:34:14.379
0.085,12/05/2020 19:34:14.879
0.084,12/05/2020 19:34:15.379
0.089,12/05/2020 19:34:15.879
0.086,12/05/2020 19:34:16.379
0.095,12/05/2020 19:34:16.879
0.088,12/05/2020 19:34:17.379
0.086,12/05/2020 19:34:17.879
0.096,12/05/2020 19:34:18.379
0.096,12/05/2020 19:34:18.879
0.088,12/05/2020 19:34:19.379
0.084,12/05/2020 19:34:19.879
0.090,12/05/2020 19:34:20.379
0.092,12/05/2020 19:34:20.879
0.088,12/05/2020 19:34:21.379
0.094,12/05/2020 19:34:21.879
0.085,12/05/2020 19:34:22.379
0.091,12/05/2020 19:34:22.879
0.091,12/05/2020 19:34:23.379
0.088,12/05/2020 19:34:23.879
0.085,12/05/2020 19:34:24.379
